RiskID,Category,Description,FrequencyModel,FreqParam1,FreqParam2,SeverityModel,SevParam1,SevParam2,SevParam3,ControlEffectiveness,ResidualFactor,SimMean,SimVaR95,SimVaR99,SimTVaR95,SimTVaR99
R1,Cyber,Phishing loss,Poisson,2.0,,Lognormal,12.0,0.9,,0.6,0.7,137578.88469693088,411613.0066177994,666104.1226617877,573926.602089169,864070.7619268756
R2,Cyber,Ransomware,Poisson,0.3,,Lognormal,14.5,1.1,,0.4,0.6,401401.3840891362,2267048.8710433557,5793177.772274652,4700631.056917346,9576655.628881902
R3,Operations,Data center outage,NegBin,2.0,0.3,PERT,50000.0,1500000.0,4000000.0,0.5,0.8,3126198.825064787,8441350.83978554,12068789.967267603,10687229.617732834,14285163.01991396
R4,Fraud,Account takeover,Poisson,1.2,,Normal,20000.0,12000.0,,0.5,0.8,9769.320187552836,29768.77122637352,41911.92278547518,37159.82819640915,48528.09925389202
R5,ThirdParty,Vendor breach,Poisson,0.6,,Lognormal,13.4,1.0,,0.5,0.75,251720.86771121007,1160025.0013430202,2444665.081051702,2030078.159405415,3784471.9518119106
R6,Legal,Regulatory fine,Poisson,0.2,,PERT,200000.0,1000000.0,5000000.0,0.3,0.85,182032.6539883589,1282974.2622169594,2037880.071969918,1777880.6473362977,2509735.014575593
R7,Market,Commodity spike,NegBin,3.0,0.6,Normal,150000.0,80000.0,,0.3,0.9,190262.76728919303,553823.4559691169,786330.009158623,698538.5134580637,920805.3185277526
R8,Operations,Payment outage,Poisson,0.9,,Lognormal,12.8,0.8,,0.6,0.8,143969.90789504827,549513.1980941481,934937.2730375445,795597.8719093042,1217849.1124099994
R9,Reputation,PR crisis,Poisson,0.15,,PERT,100000.0,800000.0,3000000.0,0.4,0.85,79482.30164483722,645501.5954194383,1051167.781203705,899366.7125372292,1274816.4523569406
R10,Physical,Facility incident,Poisson,0.7,,Normal,35000.0,20000.0,,0.5,0.85,10493.843942039826,39449.22742427196,57481.11523907633,50599.323346807396,67456.62136350168
PORTFOLIO_TOTAL,Portfolio,Total portfolio loss,,,,,,,,,,4532910.756509094,10402224.152706273,14849576.39791158,13179230.589804275,17825462.35091135
