RiskID,Category,Description,FrequencyModel,FreqParam1,FreqParam2,SeverityModel,SevParam1,SevParam2,SevParam3,ControlEffectiveness,ResidualFactor
R01,Cyber,Phishing attack leading to data breach,Poisson,2.0,,Lognormal,12.0,0.8,,0.3,0.7
R02,Cyber,Ransomware incident,Poisson,0.5,,Lognormal,14.0,1.2,,0.4,0.6
R03,Operational,Supply chain disruption,Poisson,1.5,,Normal,500000,150000,,0.2,0.8
R04,Operational,Equipment failure,NegBin,3.0,0.6,PERT,50000,100000,300000,0.1,0.9
R05,Financial,Market volatility loss,Poisson,4.0,,Lognormal,11.5,0.6,,0.0,1.0
R06,Compliance,Regulatory fine,Poisson,0.3,,PERT,100000,500000,2000000,0.5,0.5
R07,Strategic,Failed product launch,Poisson,0.2,,Lognormal,13.5,0.9,,0.3,0.7
R08,HR,Key personnel departure,Poisson,1.0,,Normal,200000,80000,,0.2,0.8
R09,Technology,System downtime,NegBin,5.0,0.7,Lognormal,10.0,0.5,,0.3,0.7
R10,Reputational,Brand damage incident,Poisson,0.4,,PERT,200000,800000,3000000,0.4,0.6
